temp,dew_pnt,sea_lvl_press,visibility,avg_wind_spd,max_sustained_wind_spd,max_temp,min_temp,rain
19.8,14.0,-5849.05725014611,8.4,63.52430175871399,15.9,28.9,14.0,0
26.8,22.2,1006.2,8.1,10.9,19.0,34.0,21.0,0
34.6,32.9,1004.6,3.9,13.8,22.0,36.0,33.1,1
26.4,21.5,1006.9,8.0,18.7,30.1,39.9,16.0,1
14.7,7.9,1009.9,8.1,14.1,22.0,21.0,9.0,0
30.6,-215.29810144606802,1015.1,12.6,9.3,17.1,42.1,19.0,0
37.2,30.2,1012.2,10.7,8.1,17.1,50.0,30.9,0
36.3,30.1,1002.8,9.7,-102.20293699279476,17.1,622.3567141831861,30.9,0
14.9,10.8,1025.6,8.0,19.8,26.0,32.0,7.0,0
10.4,5.3,1039.9,58.62601796040618,14.7,19.0,12.9,9.0,0
15.3,12.0,1038.9,2.6,9.2,10.1,19.9,9.0,1
17.8,11.9,1030.4,9.2,6.6,10.1,24.1,10.0,1
19.7,13.6,1019.1,11.8,5.0,10.1,-577.2055980203718,-337.13650994307716,0
23.9,20.8,1016.4,4.3,5.1,158.21187662437495,34.0,15.1,0
36.7,36.4,1003.8,1.0,6.6,15.0,39.0,34.0,1
18.4,12.5,9820.161199600898,7.8,18.7,103.93187541858028,-169.48033636739643,9.0,0
7.0,-0.1,1032.4,9.6,10.7,22.0,18.0,1.0,0
17.8,11.9,1018.3,7.5,10.1,22.9,23.0,10.0,0
-193.7881587555616,-0.8,-14532.82325479835,8.5,12.7,22.0,16.0,0.0,0
10.2,2.7,1032.0,6.9,13.5,22.0,17.1,6.1,0
10.4,6.6,1023.8,5.3,9.7,15.9,18.0,1.9,1
4.8,-0.6,1030.1,4.4,7.2,10.1,19.0,-5.1,1
28.8,28.2,1018.6,0.9,9.7,18.1,34.0,19.9,1
6.4,0.7,23406.40634369379,5.4,18.0,22.0,18.0,0.0,1
2.8,-2.8,1039.0,4.9,14.2,18.1,7.0,1.0,0
8.2,3.3,1032.6,8.1,10.0,13.0,17.1,3.0,0
18.6,14.8,1018.0,4.1,9.3,26.0,19.9,16.0,1
-337.27860966275284,4.8,-6972.814707276377,3.5,22.1,-105.07442324515787,18.0,1.9,0
-2.5,-9.8,1041.6,11.5,10.9,13.0,1.9,-8.0,0
-2.6,-11.8,1032.2,14.9,12.1,22.9,12.0,-11.0,0
12.1,6.8,1020.7,10.8,7.8,13.0,30.9,3.9,0
280.3709170943047,3.9,1029.1,11.4,111.49841207975415,17.1,21.0,0.0,0
1.3,-5.9,1032.5,9.1,11.0,17.1,15.1,-7.1,0
22.3,18.5,1017.2,5.1,10.3,15.9,25.0,10.9,1
5.6,0.2,1020.8,5.5,9.7,12.0,16.0,-5.1,0
18.1,14.5,1016.9,4.7,9.0,15.9,28.0,10.9,1
19.3,16.2,1013.6,8.1,11.5,22.0,28.9,9.0,1
20.9,291.24982009215177,1008.7,10.9,9.7,-134.13158389725712,36.0,-405.6735934329089,0
23.3,18.0,1007.5,14.2,12.8,26.0,34.0,14.0,0
-442.6578722124233,10.5,1018.5,12.5,6.6,17.1,39.0,169.2727074815346,0
13.0,5.8,1026.7,13.8,13.1,26.0,30.9,-0.9,0
30.7,26.0,1012.9,140.3832937463214,12.9,17.1,43.0,-430.84105715926125,0
25.3,21.9,-19465.813807976192,-54.81054754132613,12.0,22.0,42.1,14.0,0
7.9,4.0,1025.1,6.2,14.7,22.0,12.9,3.9,0
7.5,2.8,1020.9,6.7,6.8,11.1,17.1,1.9,0
15.3,394.2369119437683,1011.0,27.592640732659902,7.0,12.0,426.2035388235276,1.0,0
24.8,16.1,1019.3,12.5,9.6,17.1,32.0,16.0,0
28.8,-101.66696548784552,1020.8,-83.93836418937303,8.3,15.9,44.1,15.1,0
-358.18985793076786,-383.8991167206573,1014.1,12.8,13.6,22.0,523.5951209567806,26.1,0
17.3,94.14810813888997,1023.5,8.7,141.80636391148016,14.0,25.0,-198.64511463196766,0
15.1,10.1,1032.6,8.7,-72.24565024463831,-10.455724953965074,23.0,8.1,1
23.9,20.0,1027.5,-41.220522846059325,3.5,8.9,30.0,21.0,1
29.4,28.0,1025.6,6.8,5.0,10.1,593.4979642702051,26.1,0
538.8163574607518,32.8,-16026.5521879158,8.2,145.6749664661409,10.1,42.1,30.9,1
33.4,29.4,1017.2,8.5,14.0,28.0,43.0,25.0,0
25.2,18.5,1028.6,9.1,7.4,17.1,37.0,17.1,0
33.0,83.56103511033409,1023.2,9.6,4.6,10.1,39.0,30.0,0
29.4,26.8,1024.0,7.6,12.8,17.1,34.0,26.1,0
21.6,17.3,1032.5,12.4,8.3,17.1,28.0,14.0,0
178.13524706103448,20.3,18748.42111596202,11.1,3.5,13.0,295.65366709197315,17.1,0
-85.59466361058497,30.5,15423.19775700365,11.1,7.7,12.0,44.1,28.9,0
35.9,171.31610174737784,1022.0,7.2,8.5,13.0,42.1,30.9,1
42.3,37.3,1013.5,-42.667571212926134,1.9,8.9,57.9,30.9,0
41.9,36.1,1010.4,8.3,7.0,230.23606710640246,50.0,34.0,0
36.6,31.8,1019.9,133.31150666614488,8.2,-152.20174537558668,225.56243198873904,33.1,1
585.7983489845682,31.5,1020.8,122.53231234588327,8.3,22.0,-110.0974295578215,28.9,0
36.2,33.5,1011.2,6.9,8.8,26.0,43.0,30.9,1
30.0,27.3,1019.0,8.6,17.6,22.0,-500.804088562288,25.0,0
26.7,314.9009939701276,1025.1,10.4,10.1,15.0,32.0,21.0,0
24.4,18.0,1025.1,10.4,7.7,13.0,30.0,18.0,0
30.9,25.5,1020.1,84.72675149777936,4.6,15.9,382.51936842349846,181.91185434873816,0
33.2,28.6,1023.1,6.3,4.0,94.21191159353856,37.0,30.0,1
28.0,23.7,1028.2,5.4,11.7,17.1,33.1,-414.8068008954063,0
490.1622723087308,381.9632742223473,1034.3,9.5,9.6,22.0,24.1,492.31992560818344,0
27.7,21.5,1022.5,135.18607714384927,8.8,14.0,317.68726162333496,-232.32590826136425,0
27.6,21.3,1022.7,8.4,7.9,279.6190575708321,36.0,-61.979890655770305,0
28.6,21.8,1026.3,11.1,8.0,10.1,39.9,21.9,0
32.5,-426.11142276062543,1025.8,9.6,10.7,20.0,39.9,28.0,0
44.7,36.7,1011.9,10.2,16.3,26.0,68.0,33.1,0
48.2,43.2,761.6347313298902,6.2,14.2,26.0,62.1,465.3401100559473,1
35.3,32.4,1011.8,4.9,16.4,22.0,39.0,33.1,1
