percentage,method,r2
0,none,0.9630315416119142
10,none,0.9584785257126696
10,LOCF,0.9626789783214098
10,mean,0.9551743054602736
10,interpolation,0.9618613476211888
20,none,0.9562651469941702
20,LOCF,0.9624320243712292
20,mean,0.9515897911349724
20,interpolation,0.9614099464923216
30,none,0.9532377349028724
30,LOCF,0.9624858950088244
30,mean,0.9480442283460616
30,interpolation,0.9609052704381732
40,none,0.9512039421135546
40,LOCF,0.9623091908019212
40,mean,0.9452849984327162
40,interpolation,0.9596882665130984
50,none,0.9497374219600844
50,LOCF,0.9623395588800968
50,mean,0.9431791868371436
50,interpolation,0.959404801298665
