percentage,method,r2
0,none,0.9629527001226644
10,none,0.9428568311699254
10,z,0.919464237594723
10,lof,0.8317030446369029
10,iforest,0.2933473704568962
10,hst,0.6913345296008555
20,none,0.9343280442980388
20,z,0.8959241569269901
20,lof,0.7464284775459888
20,iforest,0.353155083509827
20,hst,0.5902934493704435
30,none,0.9266282262502844
30,z,0.8827874022515634
30,lof,0.666695418792099
30,iforest,0.421902813925669
30,hst,0.5155621387595413
40,none,0.921252795510036
40,z,0.8779394345290761
40,lof,0.5825304741645669
40,iforest,0.4506464636035692
40,hst,0.4437058841543772
50,none,0.9153707091769544
50,z,0.8706405848334988
50,lof,0.5016201468275334
50,iforest,0.4563214905729631
50,hst,0.3848621208441355
