percentage,outlier,correction,imputation,r2
20,z,drop,LOCF,0.7756594391094512
20,z,drop,interpolation,0.7750172108669531
20,z,LOCF,LOCF,0.7700379494286927
20,z,LOCF,interpolation,0.7696092842677515
20,lof,drop,LOCF,0.7927869692799123
20,lof,drop,interpolation,0.7960940152930231
20,lof,LOCF,LOCF,0.7637882108644625
20,lof,LOCF,interpolation,0.7607826178615678
20,hst,drop,LOCF,0.7833595602010077
20,hst,drop,interpolation,0.7837717386764748
20,hst,LOCF,LOCF,0.7737187264804979
20,hst,LOCF,interpolation,0.7721173478699769
20,z,drop,LOCF,0.778137134286076
20,z,drop,interpolation,0.7759021463655307
20,z,LOCF,LOCF,0.7728750654749401
20,z,LOCF,interpolation,0.7705967815266634
20,lof,drop,LOCF,0.7961377721076763
20,lof,drop,interpolation,0.7957344701354372
20,lof,LOCF,LOCF,0.7647769840712013
20,lof,LOCF,interpolation,0.7690218159185929
20,hst,drop,LOCF,0.7776877436869931
20,hst,drop,interpolation,0.7765511753129688
20,hst,LOCF,LOCF,0.7621620264791569
20,hst,LOCF,interpolation,0.7602977735844465
20,z,drop,LOCF,0.7777680376872922
20,z,drop,interpolation,0.7750577014575488
20,z,LOCF,LOCF,0.7758413516439173
20,z,LOCF,interpolation,0.7736873063595227
20,lof,drop,LOCF,0.792590749063808
20,lof,drop,interpolation,0.7877509772657658
20,lof,LOCF,LOCF,0.7633116076639224
20,lof,LOCF,interpolation,0.7651178896025664
20,hst,drop,LOCF,0.7762183742849393
20,hst,drop,interpolation,0.7747635825670125
20,hst,LOCF,LOCF,0.7693076753342672
20,hst,LOCF,interpolation,0.7677057410178193
20,z,drop,LOCF,0.7853568097853636
20,z,drop,interpolation,0.7845221561297582
20,z,LOCF,LOCF,0.7751433133639756
20,z,LOCF,interpolation,0.7735967773531707
20,lof,drop,LOCF,0.7964128071543544
20,lof,drop,interpolation,0.7924365010237331
20,lof,LOCF,LOCF,0.7688091873807021
20,lof,LOCF,interpolation,0.7686372062022768
20,hst,drop,LOCF,0.7891252166225489
20,hst,drop,interpolation,0.7885673307457715
20,hst,LOCF,LOCF,0.7733773890757896
20,hst,LOCF,interpolation,0.7737379665138727
20,z,drop,LOCF,0.7817957269879067
20,z,drop,interpolation,0.7813512407373885
20,z,LOCF,LOCF,0.7768707624751983
20,z,LOCF,interpolation,0.7766887082846125
20,lof,drop,LOCF,0.7851699186063097
20,lof,drop,interpolation,0.7982105174033077
20,lof,LOCF,LOCF,0.7664562171359195
20,lof,LOCF,interpolation,0.7678192025034661
20,hst,drop,LOCF,0.7840833304441649
20,hst,drop,interpolation,0.783546632913786
20,hst,LOCF,LOCF,0.7734821249953772
20,hst,LOCF,interpolation,0.7738709471528082
20,z,drop,LOCF,0.7805721787437494
20,z,drop,interpolation,0.7798528181235149
20,z,LOCF,LOCF,0.7775753698707288
20,z,LOCF,interpolation,0.7777099962304392
20,lof,drop,LOCF,0.800897997145661
20,lof,drop,interpolation,0.7914453324077362
20,lof,LOCF,LOCF,0.7680328063439945
20,lof,LOCF,interpolation,0.7695917665299421
20,hst,drop,LOCF,0.7888804969676402
20,hst,drop,interpolation,0.7889225060518145
20,hst,LOCF,LOCF,0.7773987931741317
20,hst,LOCF,interpolation,0.7758900597785843
20,z,drop,LOCF,0.7743225120316043
20,z,drop,interpolation,0.7765627440955658
20,z,LOCF,LOCF,0.7732523059189637
20,z,LOCF,interpolation,0.772692763404283
20,lof,drop,LOCF,0.7994111573026456
20,lof,drop,interpolation,0.7945741394238539
20,lof,LOCF,LOCF,0.7613902415135654
20,lof,LOCF,interpolation,0.7631958196423005
20,hst,drop,LOCF,0.7834508765358622
20,hst,drop,interpolation,0.7811533904207387
20,hst,LOCF,LOCF,0.7668502986701811
20,hst,LOCF,interpolation,0.7657609776573169
20,z,drop,LOCF,0.7741444275125071
20,z,drop,interpolation,0.775175682510387
20,z,LOCF,LOCF,0.7704717508047532
20,z,LOCF,interpolation,0.7715192619049389
20,lof,drop,LOCF,0.8033816241196353
20,lof,drop,interpolation,0.7971505128900065
20,lof,LOCF,LOCF,0.7637915249922032
20,lof,LOCF,interpolation,0.7694435486934936
20,hst,drop,LOCF,0.773819456666158
20,hst,drop,interpolation,0.7730509332816806
20,hst,LOCF,LOCF,0.7608191576428561
20,hst,LOCF,interpolation,0.7615291284587153
