percentage,outlier,imputation,r2
0,none,none,0.9630252530651904
10,none,none,0.9486340117131512
10,z,drop,0.9524434521489769
10,z,LOCF,0.9507001206002031
10,z,mean,0.93733871158311
10,z,interpolation,0.9508605674640058
10,lof,drop,0.963250072594816
10,lof,LOCF,0.9523713439210324
10,lof,mean,0.8891999900547279
10,lof,interpolation,0.9502350277538614
10,iforest,drop,0.9407798605549113
10,iforest,LOCF,0.8065270071104489
10,iforest,mean,0.6661758269477003
10,iforest,interpolation,0.8025890721546022
10,hst,drop,0.9432543208138666
10,hst,LOCF,0.9156160335194138
10,hst,mean,0.8975169659526456
10,hst,interpolation,0.910430148170234
20,none,none,0.94031586883456
20,z,drop,0.9440546770093396
20,z,LOCF,0.9461332347639934
20,z,mean,0.9271649989269398
20,z,interpolation,0.946413286640098
20,lof,drop,0.9606239762233948
20,lof,LOCF,0.9486527219618284
20,lof,mean,0.8552225919779395
20,lof,interpolation,0.9466900269655996
20,iforest,drop,0.9367836512633384
20,iforest,LOCF,0.8253441629006972
20,iforest,mean,0.6510272000758961
20,iforest,interpolation,0.8333216919583061
20,hst,drop,0.9385802484423084
20,hst,LOCF,0.9153410186653874
20,hst,mean,0.8747126831432078
20,hst,interpolation,0.909381031337926
30,none,none,0.9326635479589356
30,z,drop,0.9355568154182478
30,z,LOCF,0.9401193231279068
30,z,mean,0.9155445900814914
30,z,interpolation,0.9403995876745967
30,lof,drop,0.957851386418072
30,lof,LOCF,0.947229213716188
30,lof,mean,0.8237441368043925
30,lof,interpolation,0.9462413621276872
30,iforest,drop,0.9365501285316448
30,iforest,LOCF,0.8384635027744225
30,iforest,mean,0.6460345888867931
30,iforest,interpolation,0.8439170184818781
30,hst,drop,0.93461411160888
30,hst,LOCF,0.9116495312666648
30,hst,mean,0.86173534566896
30,hst,interpolation,0.904844098625333
40,none,none,0.9273980494294845
40,z,drop,0.9238063895629572
40,z,LOCF,0.9362315471797532
40,z,interpolation,0.93611434356878
40,lof,drop,0.954158016985
40,lof,LOCF,0.9426509406333692
40,lof,mean,0.7970903641613452
40,lof,interpolation,0.9392293364399342
40,iforest,drop,0.9335040213624812
40,iforest,LOCF,0.8692524375049456
40,iforest,mean,0.6485796647996398
40,iforest,interpolation,0.8644740181765974
40,hst,drop,0.9232444432323956
40,hst,LOCF,0.9084408950953892
40,hst,mean,0.8468816061001914
40,hst,interpolation,0.9024248577958948
50,none,none,0.9229302506989088
50,z,drop,0.921034279109466
50,z,LOCF,0.93378892303144
50,z,mean,0.9007302020111224
50,z,interpolation,0.9324282777725724
50,lof,drop,0.9505767019440928
50,lof,LOCF,0.9422701867504186
50,lof,mean,0.7781579485596357
50,lof,interpolation,0.9378635009885812
50,iforest,drop,0.9203092597627792
50,iforest,LOCF,0.8800779371828465
50,iforest,mean,0.6493626816576434
50,iforest,interpolation,0.8756750398255608
50,hst,drop,0.9175559150718656
50,hst,LOCF,0.904518683588824
50,hst,mean,0.8248806419927563
50,hst,interpolation,0.8979662544432557
10,none,none,0.9483275749677922
10,z,drop,0.95273963615955
10,z,LOCF,0.9524581473609648
10,z,mean,0.9419987345224224
10,z,interpolation,0.9520972641620032
10,lof,drop,0.9642480185437732
10,lof,LOCF,0.951330182228443
10,lof,mean,0.8755218376719326
10,lof,interpolation,0.9495965922497293
10,iforest,drop,0.94351857696674
10,iforest,LOCF,0.7993270017479419
10,iforest,mean,0.6630889776854274
10,iforest,interpolation,0.7980918316118076
10,hst,drop,0.9541605500348048
10,hst,LOCF,0.9424673189094104
10,hst,mean,0.9371171590575827
10,hst,interpolation,0.943180829601604
20,none,none,0.940784168802991
20,z,drop,0.944205111359519
20,z,LOCF,0.9480570874568868
20,z,mean,0.9329161843051468
20,z,interpolation,0.9473682238597932
20,lof,drop,0.961929791735392
20,lof,LOCF,0.947828344596791
20,lof,mean,0.8394096027671927
20,lof,interpolation,0.9458887671635856
20,iforest,drop,0.9420234017098325
20,iforest,LOCF,0.8281872624460043
20,iforest,mean,0.6498466546626989
20,iforest,interpolation,0.8270323027334259
20,hst,drop,0.9440358077557854
20,hst,LOCF,0.934463335869714
20,hst,mean,0.9273594354799096
20,hst,interpolation,0.936143760650076
30,none,none,0.9345992113821014
30,z,drop,0.933671083610868
30,z,LOCF,0.942547617718848
30,z,mean,0.9218814728260378
30,z,interpolation,0.9428140409212958
30,lof,drop,0.9600239641714756
30,lof,LOCF,0.9437396616316632
30,lof,mean,0.8047809868877216
30,lof,interpolation,0.9409389264582751
30,iforest,drop,0.9343808972382583
30,iforest,LOCF,0.8550670945271472
30,iforest,mean,0.6494428517099966
30,iforest,interpolation,0.8561131613490034
30,hst,drop,0.9406128061912384
30,hst,LOCF,0.9372062521282816
30,hst,mean,0.917488272070827
30,hst,interpolation,0.9384385243683796
40,none,none,0.9251007285170072
40,z,drop,0.924933175366394
40,z,LOCF,0.9358384254166152
40,z,mean,0.9102112664032505
40,z,interpolation,0.9360328659818576
40,lof,drop,0.9582020936405083
40,lof,LOCF,0.941410086118708
40,lof,mean,0.7628443982571841
40,lof,interpolation,0.9396468615168846
40,iforest,drop,0.9366344883438362
40,iforest,LOCF,0.8791160321199758
40,iforest,mean,0.6440716913765427
40,iforest,interpolation,0.8731310577461737
40,hst,drop,0.9284488702309276
40,hst,LOCF,0.9316755580283516
40,hst,mean,0.9081140885754304
40,hst,interpolation,0.9323888458847144
50,none,none,0.9208570854917868
50,z,drop,0.9196861523554768
50,z,LOCF,0.933462353551928
50,z,mean,0.9094560361749218
50,z,interpolation,0.9335203254064364
50,lof,drop,0.9544634294810184
50,lof,LOCF,0.9409357259727764
50,lof,mean,0.73099291514943
50,lof,interpolation,0.9378967242948112
50,iforest,drop,0.9278608068426004
50,iforest,LOCF,0.8866819540271892
50,iforest,mean,0.6483158904820712
50,iforest,interpolation,0.8859106568282298
50,hst,drop,0.9220847404011168
50,hst,LOCF,0.9334009677528974
50,hst,mean,0.899950209959403
50,hst,interpolation,0.9330642746029492
10,none,none,0.948432913085653
10,z,drop,0.9516235700212528
10,z,LOCF,0.9534552863939426
10,z,mean,0.9433488500612506
10,z,interpolation,0.9537805810135158
10,lof,drop,0.9627355068172556
10,lof,LOCF,0.951917399569318
10,lof,mean,0.8792857207155194
10,lof,interpolation,0.9484916363455616
10,iforest,drop,0.9394332593820802
10,iforest,LOCF,0.7950021722178044
10,iforest,mean,0.6651930188753665
10,iforest,interpolation,0.8084572145091525
10,hst,drop,0.9532988930656756
10,hst,LOCF,0.9406390427587976
10,hst,mean,0.9389047328509011
10,hst,interpolation,0.941928039741731
20,none,none,0.9380668244091316
20,z,drop,0.9420940716458406
20,z,LOCF,0.9450565520921944
20,z,mean,0.9281691726737912
20,z,interpolation,0.945206517946642
20,lof,drop,0.9623599552041427
20,lof,LOCF,0.949115482315752
20,lof,mean,0.8365027900628634
20,lof,interpolation,0.9455296734123964
20,iforest,drop,0.9400277883565584
20,iforest,LOCF,0.8245562533663057
20,iforest,mean,0.6494758797941977
20,iforest,interpolation,0.8319956694051593
20,hst,drop,0.9473944830270165
20,hst,LOCF,0.9392255561998726
20,hst,mean,0.9258570881486956
20,hst,interpolation,0.940269631719275
30,none,none,0.9322666056224608
30,z,drop,0.932419574476076
30,z,LOCF,0.9413932296956612
30,z,mean,0.920686317790276
30,z,interpolation,0.9412975179672608
30,lof,drop,0.9598012509498884
30,lof,LOCF,0.9463936770914116
30,lof,mean,0.797340355196592
30,lof,interpolation,0.9420234864845763
30,iforest,drop,0.93975898845156
30,iforest,LOCF,0.853938175920272
30,iforest,mean,0.644854441883744
30,iforest,interpolation,0.8609824648534369
30,hst,drop,0.936394860108649
30,hst,LOCF,0.9394650024262062
30,hst,mean,0.9179108816761348
30,hst,interpolation,0.9385660931598502
40,none,none,0.927713967949887
40,z,drop,0.926927028244912
40,z,LOCF,0.936915008708214
40,z,mean,0.9131812731031164
40,z,interpolation,0.9375208623163072
40,lof,drop,0.9565721199950418
40,lof,LOCF,0.9427840422976111
40,lof,mean,0.7657626050190467
40,lof,interpolation,0.9397020512107922
40,iforest,drop,0.9347151792536842
40,iforest,LOCF,0.877520975004581
40,iforest,mean,0.6505536995271387
40,iforest,interpolation,0.8766435041324933
40,hst,drop,0.9308011509344596
40,hst,LOCF,0.9360358321209504
40,hst,mean,0.912141173795694
40,hst,interpolation,0.936377255800259
50,none,none,0.9206519395117876
50,z,drop,0.9196170487751824
50,z,LOCF,0.9330053909139788
50,z,mean,0.9087796362488691
50,z,interpolation,0.9324667787033594
50,lof,drop,0.952913034618584
50,lof,LOCF,0.9396596458075208
50,lof,mean,0.7368895791812016
50,lof,interpolation,0.9371416067185412
50,iforest,drop,0.92642746960621
50,iforest,LOCF,0.8855882391944255
50,iforest,mean,0.6503642798296836
50,iforest,interpolation,0.8851043536130428
50,hst,drop,0.9285814762620428
50,hst,LOCF,0.9331984220720332
50,hst,mean,0.9015401113932406
50,hst,interpolation,0.9315734904985168
10,none,none,0.9491399632947752
10,z,drop,0.951998256940033
10,z,LOCF,0.954177319303768
10,z,mean,0.9429117179234896
10,z,interpolation,0.9535364382886982
10,lof,drop,0.9635413004256556
10,lof,LOCF,0.9522607742336632
10,lof,mean,0.8789114886027406
10,lof,interpolation,0.9487518791289212
10,iforest,drop,0.9395123496822608
10,iforest,LOCF,0.7952410073914421
10,iforest,mean,0.6645391853295558
10,iforest,interpolation,0.8050300890704191
