percentage,outlier,imputation,r2
30,none,none,0.7662144370026904
30,none,drop,0.7755842402767232
30,none,LOCF,0.7748010761921117
30,none,mean,0.7706794893811896
30,none,interpolation,0.7788081744805083
30,none,none,0.7681034976243631
30,none,drop,0.7784446111527883
30,none,LOCF,0.7767473810750473
30,none,mean,0.7697635812009846
30,none,interpolation,0.7769763581200985
30,none,none,0.7688476730207797
30,none,drop,0.7761940485121279
30,none,LOCF,0.7773770679489381
30,none,mean,0.7728547713091762
30,none,interpolation,0.7800103039670273
30,none,none,0.7701642910298242
30,none,drop,0.7696785623892686
30,none,LOCF,0.7764611597687332
30,none,mean,0.7715381533001316
30,none,interpolation,0.7780639990840919
30,none,none,0.7674165664892095
30,none,drop,0.7751104442777361
30,none,LOCF,0.7761176942011563
30,none,mean,0.7739996565344325
30,none,interpolation,0.7757169843723166
30,none,none,0.7684469631919401
30,none,drop,0.7763435417193959
30,none,LOCF,0.7752590302822142
30,none,mean,0.7736561909668556
30,none,interpolation,0.7785791974354571
30,none,none,0.7680462533631004
30,none,drop,0.7715262148870551
30,none,LOCF,0.774400366363272
30,none,mean,0.7719961073902342
30,none,interpolation,0.7740569007956952
30,none,none,0.769649092678459
30,none,drop,0.7747770275902308
30,none,LOCF,0.7761749384624191
30,none,mean,0.7698208254622474
30,none,interpolation,0.7784647089129315
