percentage,outlier,imputation,r2
50,none,none,0.713149006812067
50,z,drop,1.0
50,z,LOCF,0.6767416566489209
50,z,mean,0.9303337340431622
50,z,interpolation,0.7031885053523385
50,lof,drop,0.7621739130434783
50,lof,LOCF,0.7082260003434655
50,lof,mean,0.7022725971721335
50,lof,interpolation,0.7168126395328868
50,iforest,drop,0.769391436437862
50,iforest,LOCF,0.6995821168927815
50,iforest,mean,0.685099318793291
50,iforest,interpolation,0.7019863758658195
50,hst,drop,0.8157037037037037
50,hst,LOCF,0.7097715953975614
50,hst,mean,0.7366763981910814
50,hst,interpolation,0.7077108019921003
50,none,none,0.7134352281183811
50,z,drop,1.0
50,z,LOCF,0.6769133894327094
50,z,mean,0.927700498025073
50,z,interpolation,0.7049058331902227
50,lof,drop,0.7569190600522193
50,lof,LOCF,0.7077108019921003
50,lof,mean,0.706623161028107
50,lof,interpolation,0.7149235789112143
50,iforest,drop,0.7735436662548701
50,iforest,LOCF,0.7068521380731582
50,iforest,mean,0.6864159368023356
50,iforest,interpolation,0.7089701757398821
50,hst,drop,0.8165925925925926
50,hst,LOCF,0.7103440380101894
50,hst,mean,0.7291773999656534
50,hst,interpolation,0.7090274200011449
50,none,none,0.7075390692083119
50,z,drop,1.0
50,z,LOCF,0.6810349762436316
50,z,mean,0.9303337340431622
50,z,interpolation,0.7007270021180376
50,lof,drop,0.7632837638055483
50,lof,LOCF,0.7037609479649665
50,lof,mean,0.6988951857576278
50,lof,interpolation,0.7093708855687217
50,iforest,drop,0.7649515853426997
50,iforest,LOCF,0.700326292289198
50,iforest,mean,0.6866449138473868
50,iforest,interpolation,0.6981510103612113
50,hst,drop,0.8239655345155796
50,hst,LOCF,0.7046196118839086
50,hst,mean,0.7255137672448337
50,hst,interpolation,0.7047341004064342
50,none,none,0.7089701757398821
50,z,drop,1.0
50,z,LOCF,0.6706737649550633
50,z,mean,0.9270135668899192
50,z,interpolation,0.7023298414333963
50,lof,drop,0.7728221178925404
50,lof,LOCF,0.708397733127254
50,lof,mean,0.7055927643253764
50,lof,interpolation,0.7158394870914192
50,iforest,drop,0.7745675727048089
50,iforest,LOCF,0.7012422004694029
50,iforest,mean,0.6784017402255423
50,iforest,interpolation,0.70627969546053
50,hst,drop,0.8212345679012346
50,hst,LOCF,0.7044478791001202
50,hst,mean,0.7387371915965425
50,hst,interpolation,0.707481824947049
50,none,none,0.7047913446676971
50,z,drop,1.0
50,z,LOCF,0.6776003205678631
50,z,mean,0.9298185356917968
50,z,interpolation,0.7036464594424409
50,lof,drop,0.7616279069767442
50,lof,LOCF,0.7004407808117237
50,lof,mean,0.6899650810006297
50,lof,interpolation,0.7110882134066061
50,iforest,drop,0.7612805167664102
50,iforest,LOCF,0.6972923464422691
50,iforest,mean,0.6967771480909039
50,iforest,interpolation,0.7025015742171847
50,hst,drop,0.8139259259259258
50,hst,LOCF,0.7039899250100178
50,hst,mean,0.731696147461217
50,hst,interpolation,0.7048485889289599
50,none,none,0.713149006812067
50,z,drop,1.0
50,z,LOCF,0.6758829927299789
50,z,mean,0.9286736504665408
50,z,interpolation,0.706623161028107
50,lof,drop,0.771505610159172
50,lof,LOCF,0.7044478791001202
50,lof,mean,0.7016429102982426
50,lof,interpolation,0.7094853740912473
50,iforest,drop,0.7633254156769598
50,iforest,LOCF,0.7012994447306657
50,iforest,mean,0.6920258744060908
50,iforest,interpolation,0.7073100921632608
50,hst,drop,0.8145587246710844
50,hst,LOCF,0.7121186101093366
50,hst,mean,0.7330127654702616
50,hst,interpolation,0.7134352281183811
50,none,none,0.7112599461903945
50,z,drop,1.0
50,z,LOCF,0.6763409468200813
50,z,mean,0.9276432537638102
50,z,interpolation,0.705421031541588
50,lof,drop,0.765361183637946
50,lof,LOCF,0.7095426183525101
50,lof,mean,0.7007270021180376
50,lof,interpolation,0.7114889232354457
50,iforest,drop,0.7596766524013314
50,iforest,LOCF,0.7008987349018261
50,iforest,mean,0.6876753105501173
50,iforest,interpolation,0.7050203217127483
50,hst,drop,0.8152309612983771
50,hst,LOCF,0.7090274200011449
50,hst,mean,0.7323830785963706
50,hst,interpolation,0.7094281298299846
50,z,drop,1.0
50,z,LOCF,0.6793176484057474
50,z,mean,0.9314786192684184
50,z,interpolation,0.7046768561451714
50,lof,drop,0.776637383665304
50,lof,LOCF,0.7078825347758888
50,lof,mean,0.7039899250100178
50,lof,interpolation,0.7082260003434655
50,iforest,drop,0.7685510688836105
50,iforest,LOCF,0.6967199038296411
50,iforest,mean,0.6928272940637701
50,iforest,interpolation,0.7026160627397103
50,hst,drop,0.8108134063190243
50,hst,LOCF,0.708397733127254
50,hst,mean,0.7271738508214552
50,hst,interpolation,0.7117179002804969
