percentage,method,precision,recall,f1
50,z,0.494295243110409,0.3118493909191583,0.3824268350648469
50,lof,0.921659879775063,0.5263565891472868,0.6700500458165926
50,iforest,1.0,0.2695459579180509,0.4246336357292393
50,hst,0.9035824237335572,0.7150609080841639,0.7983432245301681
50,z,0.5078111286642092,0.3170063554678939,0.3903393375160223
50,lof,0.924077261426659,0.5294762217839141,0.6732149076976662
50,iforest,1.0,0.2676966907736138,0.4223355519059556
50,hst,0.9089787525702536,0.7266053035283805,0.8076243834114853
50,z,0.5093909074951729,0.3172624904340221,0.3909997305308542
50,lof,0.9221238938053096,0.5126270908494588,0.65893760539629
50,iforest,1.0,0.2699245654312889,0.4251033057851239
50,hst,0.9090025006946374,0.7153164972122007,0.8006118078923218
50,z,0.5011409513779183,0.3130482456140351,0.385368158196666
50,lof,0.9226723802103622,0.5194078947368421,0.6646555352883401
50,iforest,1.0,0.2621710526315789,0.4154287203544436
50,hst,0.9080887419043682,0.7225877192982456,0.804787201563168
50,z,0.5078111286642092,0.3155541012216405,0.3892364614867137
50,lof,0.9210122699386504,0.5239965095986039,0.6679644048943271
50,iforest,1.0,0.2705061082024433,0.4258241758241758
50,hst,0.9063136456211812,0.7280759162303665,0.807475957176556
50,z,0.4937686501667544,0.3134261838440111,0.3834514721919302
50,lof,0.9176493710691824,0.5202228412256268,0.6640119462419114
50,iforest,1.0,0.2765459610027855,0.4332722353146548
50,hst,0.9144392589449866,0.7204456824512535,0.8059329427894802
50,z,0.4976303317535545,0.3136061946902654,0.3847458777227387
50,lof,0.9170390518748786,0.5221238938053098,0.6653978994854445
50,iforest,1.0,0.2685840707964602,0.4234391349843041
50,hst,0.8979591836734694,0.7252212389380531,0.8023988739979193
50,z,0.4897314375987361,0.3082532316871064,0.3783563873067534
50,lof,0.9179261526688348,0.5301071704784002,0.6720829247793808
50,iforest,1.0,0.2666003756490995,0.4209699930216329
50,hst,0.9042449547668754,0.7178212352226273,0.8003202759300321
