percentage,outlier,correction,imputation,r2
40,z,drop,LOCF,0.7687904287595168
40,z,drop,interpolation,0.7685614517144657
40,z,LOCF,LOCF,0.7679317648405747
40,z,LOCF,interpolation,0.7692483828496193
40,lof,drop,LOCF,0.7736339982653946
40,lof,drop,interpolation,0.7760913558832032
40,lof,LOCF,LOCF,0.7512164405518346
40,lof,LOCF,interpolation,0.7496708454977389
40,hst,drop,LOCF,0.7687561094819161
40,hst,drop,interpolation,0.769672531769306
40,hst,LOCF,LOCF,0.7661571927414277
40,hst,LOCF,interpolation,0.7695918484171962
