percentage,outlier,correction,imputation,r2
50,z,drop,LOCF,0.7644971091648062
50,z,drop,interpolation,0.7643826206422806
50,z,LOCF,LOCF,0.7624363157593451
50,z,LOCF,interpolation,0.7646688419485946
50,lof,drop,LOCF,0.7640712237814999
50,lof,drop,interpolation,0.7694280971782104
50,lof,LOCF,LOCF,0.7474955635697521
50,lof,LOCF,interpolation,0.743946419371458
50,hst,drop,LOCF,0.7624793933399274
50,hst,drop,interpolation,0.765710517639301
50,hst,LOCF,LOCF,0.7584864617322113
50,hst,LOCF,interpolation,0.7555097601465454
