technique,50_r,50_d,60_r,60_d,70_r,70_d,80_r,80_d,90_r,90_d,average_r,average_d
none+none,0.51,0.36,0.61,0.29,0.71,0.21,0.82,0.14,0.91,0.06,0.71,0.21
hst+LOCF,0.73,0.19,0.79,0.16,0.84,0.12,0.89,0.08,0.94,0.05,0.84,0.12
hst+drop,0.74,0.19,0.8,0.15,0.85,0.11,0.89,0.08,0.95,0.04,0.85,0.11
hst+interpolation,0.71,0.21,0.78,0.16,0.83,0.13,0.88,0.09,0.94,0.05,0.83,0.13
hst+mean,0.19,0.59,0.39,0.45,0.57,0.32,0.73,0.2,0.87,0.1,0.55,0.33
iforest+LOCF,0.78,0.16,0.73,0.2,0.68,0.24,0.59,0.3,0.46,0.39,0.65,0.26
iforest+drop,0.85,0.11,0.92,0.06,0.91,0.07,0.92,0.06,0.94,0.05,0.91,0.07
iforest+interpolation,0.69,0.23,0.64,0.26,0.59,0.3,0.49,0.37,0.35,0.48,0.55,0.33
iforest+mean,-0.26,0.92,-0.27,0.93,-0.28,0.94,-0.31,0.96,-0.3,0.95,-0.28,0.94
lof+LOCF,0.63,0.27,0.76,0.17,0.94,0.05,0.97,0.02,0.99,0.01,0.86,0.1
lof+drop,0.69,0.23,0.78,0.16,0.9,0.07,1.02,-0.01,1.02,-0.01,0.88,0.09
lof+interpolation,0.63,0.27,0.76,0.18,0.93,0.05,0.96,0.03,0.98,0.02,0.85,0.11
lof+mean,0.3,0.52,0.38,0.45,0.53,0.35,0.68,0.23,0.82,0.13,0.54,0.34
z+LOCF,0.51,0.36,0.62,0.28,0.73,0.2,0.83,0.13,0.91,0.07,0.72,0.21
z+drop,0.51,0.36,0.62,0.28,0.73,0.2,0.83,0.12,0.91,0.06,0.72,0.2
z+interpolation,0.51,0.36,0.62,0.28,0.73,0.2,0.83,0.13,0.91,0.07,0.72,0.21
z+mean,0.5,0.36,0.61,0.29,0.71,0.22,0.8,0.15,0.89,0.08,0.7,0.22
