technique,50_r,50_d,60_r,60_d,70_r,70_d,80_r,80_d,90_r,90_d,average_r,average_d
none+none+none,0.97,0.02,0.98,0.02,0.98,0.02,0.99,0.01,0.99,0.01,0.98,0.02
hst+LOCF+LOCF,0.97,0.02,0.98,0.02,0.98,0.01,0.99,0.01,0.99,0.01,0.98,0.01
hst+LOCF+interpolation,0.97,0.02,0.98,0.02,0.98,0.01,0.99,0.01,0.99,0.01,0.98,0.01
hst+drop+LOCF,0.98,0.02,0.98,0.02,0.98,0.01,0.99,0.01,0.99,0.01,0.98,0.01
hst+drop+interpolation,0.98,0.02,0.98,0.01,0.99,0.01,0.99,0.01,0.99,0.01,0.99,0.01
lof+LOCF+LOCF,0.95,0.04,0.96,0.03,0.97,0.03,0.98,0.02,0.99,0.01,0.97,0.03
lof+LOCF+interpolation,0.95,0.04,0.96,0.03,0.97,0.03,0.98,0.02,0.99,0.01,0.97,0.03
lof+drop+LOCF,0.98,0.01,0.99,0.01,0.99,0.0,1.0,0.0,1.0,0.0,0.99,0.0
lof+drop+interpolation,0.99,0.01,0.99,0.01,0.99,0.0,1.0,0.0,1.0,0.0,0.99,0.0
z+LOCF+LOCF,0.97,0.02,0.98,0.02,0.98,0.01,0.99,0.01,0.99,0.01,0.98,0.01
z+LOCF+interpolation,0.98,0.02,0.98,0.02,0.99,0.01,0.99,0.01,0.99,0.01,0.99,0.01
z+drop+LOCF,0.97,0.02,0.98,0.02,0.98,0.01,0.99,0.01,0.99,0.01,0.98,0.01
z+drop+interpolation,0.98,0.02,0.98,0.01,0.99,0.01,0.99,0.01,0.99,0.0,0.99,0.01
